hero_name,num_games,blue_ban_num,red_ban_num,full_ban_num,full_ban_rate,blue_ban_ratio,red_ban_ratio,mbat_team_name,mbat_ban_num,mbat_ban_ratio,blue_pick_num,blue_pick_rate,red_pick_num,red_pick_rate,full_pick_num,full_pick_rate,mpnt_team_name,mpnt_pick_num,mpnt_win_num,mpnt_win_rate,full_bp_num,full_bp_rate,full_win_num,full_lose_num,full_win_rate,full_win_avg_game_time_sec,full_lose_avg_game_time_sec,mwrt_team_name,mwrt_pick_num,mwrt_win_num,mwrt_win_rate
helcurt,152,0,1,1,0.0066,0.0,1.0,See You Soon,1,1.0,1,0.0067,2,0.0133,3,0.0199,See You Soon,1,1.0,1.0,4,0.0263,1,2,0.3333,1112,982,See You Soon,1,1.0,1.0
yve,152,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0067,2,0.0132,3,0.0197,Geek Fam ID,2,2.0,1.0,3,0.0197,2,1,0.6667,1086,842,Geek Fam ID,2,2.0,1.0
hayabusa,152,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0067,2,0.0132,3,0.0197,ONIC Esports,1,0.0,0.0,3,0.0197,0,3,0.0,0,830,ONIC Esports,1,0.0,0.0
pharsa,152,0,1,1,0.0066,0.0,1.0,Geek Fam ID,1,1.0,1,0.0066,0,0.0,1,0.0066,KeepBest Gaming,1,0.0,0.0,2,0.0132,0,1,0.0,0,838,KeepBest Gaming,1,0.0,0.0
roger,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,2,0.0132,2,0.0132,Imperio,2,1.0,0.5,2,0.0132,1,1,0.5,899,1280,Imperio,2,1.0,0.5
odette,152,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0066,1,0.0066,2,0.0132,AP.Bren,2,1.0,0.5,2,0.0132,1,1,0.5,665,709,AP.Bren,2,1.0,0.5
lunox,152,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0066,1,0.0066,2,0.0132,Umbrella Squad,1,1.0,1.0,2,0.0132,1,1,0.5,598,904,Umbrella Squad,1,1.0,1.0
alpha,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,1,0.0066,1,0.0066,Imperio,1,0.0,0.0,1,0.0066,0,1,0.0,0,957,Imperio,1,0.0,0.0
ling,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,1,0.0066,1,0.0066,4Merical Esports,1,0.0,0.0,1,0.0066,0,1,0.0,0,915,4Merical Esports,1,0.0,0.0
masha,152,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0066,0,0.0,1,0.0066,Team Lilgun,1,0.0,0.0,1,0.0066,0,1,0.0,0,1074,Team Lilgun,1,0.0,0.0
luo yi,152,0,0,0,0.0,0.0,0.0,,0,0.0,1,0.0066,0,0.0,1,0.0066,Team Flash,1,0.0,0.0,1,0.0066,0,1,0.0,0,1258,Team Flash,1,0.0,0.0
aamon,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,1,0.0066,1,0.0066,Fire Flux Esports,1,0.0,0.0,1,0.0066,0,1,0.0,0,666,Fire Flux Esports,1,0.0,0.0
miya,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
balmond,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
saber,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
alice,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
nana,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
alucard,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
karina,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
bane,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
eudora,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
zilong,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
layla,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
lolita,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
freya,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
natalia,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
kagura,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
sun,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
moskov,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
johnson,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
cyclops,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
aurora,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
vexana,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
